Format Version,1.0,
Take Name,Take 2022-10-21 01.58.24 PM,
Capture Frame Rate,300.00,
Export Frame Rate,300.00,
Capture Start Time,21 Oct 2022 13:58:24 +0900,
Total Frames In Take,32253,
Total Exported Frames,32253,
Coordinate Space,Local,
Device Name,AMTI 3194 3194,
Device Type,2,
Device Channel Count,6,
Mocap Rate,300.00,
Mocap Rate Multiple,1.00,

PlateLength,19.750000,
PlateWidth,19.750000,
PlateOrder,1,
PosX_PosY_X,0.502139,
PosX_PosY_Y,-0.000029,
PosX_PosY_Z,0.501192,
NegX_PosY_X,-0.000017,
NegX_PosY_Y,0.000014,
NegX_PosY_Z,0.501749,
NegX_NegY_X,-0.000020,
NegX_NegY_Y,0.000034,
NegX_NegY_Z,0.000002,
PosX_NegY_X,0.502136,
PosX_NegY_Y,-0.000009,
PosX_NegY_Z,-0.000555,
Offset_X,0.000000,
Offset_Y,0.000000,
Offset_Z,0.000000


MocapFrame, MocapTime, DeviceFrame, Fx, Fy, Fz, Mx, My, Mz, Cx, Cy, Cz, Tz
157,0.523000,157,-14.005859,-0.714233,672.281250,51.871094,4.071045,-2.626953,-0.006056,0.077157,0.000000,-3.711926
158,0.526000,158,-14.351562,-0.665985,672.906250,51.939453,3.987915,-2.562378,-0.005926,0.077187,0.000000,-3.674075
159,0.530000,159,-13.862305,-0.108265,673.281250,51.951172,4.053955,-2.493286,-0.006021,0.077161,0.000000,-3.563570
160,0.533000,160,-13.740234,0.113750,672.906250,51.925781,4.009277,-2.213501,-0.005958,0.077166,0.000000,-3.273108
161,0.536000,161,-12.801270,-0.136528,672.937500,51.841797,4.040771,-2.129883,-0.006005,0.077038,0.000000,-3.116888
162,0.540000,162,-12.865723,-0.116020,673.593750,51.859375,4.063721,-2.194580,-0.006033,0.076989,0.000000,-3.185801
163,0.543000,163,-12.466797,-0.048445,673.468750,51.833984,4.004639,-2.346436,-0.005946,0.076966,0.000000,-3.306239
164,0.546000,164,-12.533691,0.622986,673.312500,51.894531,4.051514,-2.311401,-0.006017,0.077073,0.000000,-3.273668
165,0.550000,165,-12.874512,0.129662,673.562500,51.853516,3.967407,-2.347656,-0.005890,0.076984,0.000000,-3.338024
166,0.553000,166,-12.628418,0.387207,673.312500,51.802734,4.024170,-2.379150,-0.005977,0.076937,0.000000,-3.348430
167,0.556000,167,-13.344238,0.316360,673.468750,51.824219,4.024170,-2.312744,-0.005975,0.076951,0.000000,-3.337708
168,0.560000,168,-13.838379,-0.019597,673.750000,51.734375,4.007080,-2.529175,-0.005947,0.076786,0.000000,-3.591881
169,0.563000,169,-13.459473,-0.055645,673.968750,51.826172,4.068359,-2.609497,-0.006036,0.076897,0.000000,-3.644826
170,0.566000,170,-13.530762,0.220093,673.968750,51.820312,4.018311,-2.544678,-0.005962,0.076888,0.000000,-3.583723
171,0.570000,171,-13.476074,0.744720,673.843750,51.789062,3.924438,-2.630981,-0.005824,0.076856,0.000000,-3.662364
172,0.573000,172,-13.162109,0.511017,674.406250,51.695312,4.007324,-2.545532,-0.005942,0.076653,0.000000,-3.551412
173,0.576000,173,-13.529785,0.414719,674.750000,51.763672,4.115479,-2.425171,-0.006099,0.076715,0.000000,-3.460584
174,0.580000,174,-13.104492,0.751648,674.750000,51.759766,4.010010,-2.578125,-0.005943,0.076710,0.000000,-3.578897
175,0.583000,175,-12.641602,1.045776,674.625000,51.685547,4.026123,-2.511719,-0.005968,0.076614,0.000000,-3.473998
176,0.586000,176,-12.975098,0.420609,674.750000,51.718750,4.038086,-2.743530,-0.005985,0.076649,0.000000,-3.735538
177,0.590000,177,-13.096191,0.189964,674.781250,51.626953,4.105713,-2.708496,-0.006085,0.076509,0.000000,-3.709319
178,0.593000,178,-12.746582,-0.210869,674.406250,51.666016,4.092773,-2.659302,-0.006069,0.076610,0.000000,-3.637092
179,0.596000,179,-13.318848,0.538269,674.687500,51.501953,4.050537,-2.860718,-0.006004,0.076335,0.000000,-3.874174
180,0.600000,180,-13.103027,0.325607,674.687500,51.505859,4.009277,-2.978394,-0.005942,0.076340,0.000000,-3.976748
181,0.603000,181,-13.471680,-0.010676,674.687500,51.464844,3.972290,-2.747681,-0.005888,0.076280,0.000000,-3.775357
182,0.606000,182,-13.280273,-0.337524,674.812500,51.396484,3.954468,-2.665405,-0.005860,0.076164,0.000000,-3.678863
183,0.610000,183,-13.561523,-0.313553,675.062500,51.443359,4.017578,-2.828735,-0.005951,0.076205,0.000000,-3.864062
184,0.613000,184,-13.714355,-0.506775,675.187500,51.466797,4.012207,-2.563232,-0.005942,0.076226,0.000000,-3.611633
185,0.616000,185,-13.348633,-0.343857,675.187500,51.419922,3.904541,-2.467651,-0.005783,0.076157,0.000000,-3.486225
186,0.620000,186,-13.499023,-0.307434,675.062500,51.394531,4.019531,-2.845459,-0.005954,0.076133,0.000000,-3.875011
187,0.623000,187,-13.787598,-0.124443,675.343750,51.339844,3.962158,-2.748291,-0.005867,0.076020,0.000000,-3.797159
188,0.626000,188,-12.975586,-0.209518,674.687500,51.375000,3.892700,-2.568115,-0.005770,0.076146,0.000000,-3.557368
189,0.630000,189,-13.695312,-0.060150,675.218750,51.314453,3.845215,-2.502686,-0.005695,0.075997,0.000000,-3.543828
190,0.633000,190,-13.602539,0.042196,674.937500,51.267578,3.944336,-2.600098,-0.005844,0.075959,0.000000,-3.633086
191,0.636000,191,-13.469238,-0.559784,674.937500,51.185547,3.851562,-2.520508,-0.005707,0.075837,0.000000,-3.545175
192,0.640000,192,-13.346680,-0.327042,674.437500,51.283203,3.879639,-2.585938,-0.005752,0.076038,0.000000,-3.602680
193,0.643000,193,-13.898926,-0.869385,674.437500,51.191406,3.980469,-2.749634,-0.005902,0.075902,0.000000,-3.809726
194,0.646000,194,-14.309082,-0.562958,674.562500,51.160156,3.871216,-2.620117,-0.005739,0.075842,0.000000,-3.708577
195,0.650000,195,-13.522461,-1.138489,674.937500,51.195312,3.993286,-2.698730,-0.005917,0.075852,0.000000,-3.731171
196,0.653000,196,-13.459473,-1.182922,675.000000,51.054688,3.995728,-2.699585,-0.005920,0.075637,0.000000,-3.724616
197,0.656000,197,-12.934570,-0.826843,674.718750,51.197266,4.013428,-2.814697,-0.005948,0.075879,0.000000,-3.801083
198,0.660000,198,-13.529297,-0.666931,675.000000,51.093750,3.945801,-2.800903,-0.005846,0.075694,0.000000,-3.828895
199,0.663000,199,-13.556152,-0.920074,674.718750,51.146484,3.847900,-2.820190,-0.005703,0.075804,0.000000,-3.853050
200,0.666000,200,-13.407227,-0.512085,675.000000,51.089844,3.950073,-2.950073,-0.005852,0.075689,0.000000,-3.967845
201,0.670000,201,-13.190918,-0.336212,674.562500,51.160156,3.884888,-2.819214,-0.005759,0.075842,0.000000,-3.821575
202,0.673000,202,-12.963379,-0.975281,674.718750,51.150391,3.915771,-2.668823,-0.005804,0.075810,0.000000,-3.657236
203,0.676000,203,-13.052734,-1.247192,674.718750,51.107422,3.912231,-2.669067,-0.005798,0.075746,0.000000,-3.664995
