Format Version,1.0,
Take Name,Take 2022-10-21 01.51.09 PM,
Capture Frame Rate,300.00,
Export Frame Rate,300.00,
Capture Start Time,21 Oct 2022 13:51:09 +0900,
Total Frames In Take,32060,
Total Exported Frames,32060,
Coordinate Space,Local,
Device Name,AMTI 3194 3194,
Device Type,2,
Device Channel Count,6,
Mocap Rate,300.00,
Mocap Rate Multiple,1.00,

PlateLength,19.750000,
PlateWidth,19.750000,
PlateOrder,1,
PosX_PosY_X,0.502139,
PosX_PosY_Y,-0.000029,
PosX_PosY_Z,0.501192,
NegX_PosY_X,-0.000017,
NegX_PosY_Y,0.000014,
NegX_PosY_Z,0.501749,
NegX_NegY_X,-0.000020,
NegX_NegY_Y,0.000034,
NegX_NegY_Z,0.000002,
PosX_NegY_X,0.502136,
PosX_NegY_Y,-0.000009,
PosX_NegY_Z,-0.000555,
Offset_X,0.000000,
Offset_Y,0.000000,
Offset_Z,0.000000


MocapFrame, MocapTime, DeviceFrame, Fx, Fy, Fz, Mx, My, Mz, Cx, Cy, Cz, Tz
0,0.000000,0,-1.588806,-1.668518,660.906250,4.866455,-88.718750,-3.410156,0.134238,0.007363,0.000000,-3.197877
1,0.003000,1,-1.689026,-1.815857,660.937500,4.636475,-88.828125,-3.371704,0.134397,0.007015,0.000000,-3.139507
2,0.006000,2,-1.393005,-1.847229,661.218750,4.405762,-88.894531,-3.296753,0.134440,0.006663,0.000000,-3.057692
3,0.010000,3,-1.482300,-2.353271,661.687500,4.251953,-88.898438,-3.273193,0.134351,0.006426,0.000000,-2.966554
4,0.013000,4,-1.553833,-2.524658,661.281250,3.955322,-88.953125,-3.401367,0.134516,0.005981,0.000000,-3.071054
5,0.016000,5,-1.131348,-2.192993,661.718750,3.785400,-88.992188,-3.580566,0.134486,0.005721,0.000000,-3.292110
6,0.020000,6,-1.263916,-2.493408,661.593750,3.536743,-89.121094,-3.509399,0.134707,0.005346,0.000000,-3.180277
7,0.023000,7,-1.096375,-2.195312,662.156250,3.296387,-89.085938,-3.447266,0.134539,0.004978,0.000000,-3.157368
8,0.026000,8,-1.118958,-2.917358,661.781250,3.104736,-89.242188,-3.413696,0.134851,0.004691,0.000000,-3.025536
9,0.030000,9,-0.620331,-2.200806,661.906250,2.835815,-89.304688,-3.355103,0.134920,0.004284,0.000000,-3.060827
10,0.033000,10,-0.630310,-2.215332,661.968750,2.603760,-89.238281,-3.158447,0.134807,0.003933,0.000000,-2.862283
11,0.036000,11,-1.108276,-2.556396,662.406250,2.305298,-89.250000,-3.214355,0.134736,0.003480,0.000000,-2.873774
12,0.040000,12,-0.605225,-3.032837,661.875000,2.134888,-89.343750,-3.112915,0.134986,0.003226,0.000000,-2.705477
13,0.043000,13,-0.656647,-2.884399,662.187500,1.805176,-89.269531,-3.063599,0.134810,0.002726,0.000000,-2.676543
14,0.046000,14,-0.697144,-2.877808,662.062500,1.596313,-89.378906,-3.128540,0.135001,0.002411,0.000000,-2.741715
15,0.050000,15,-0.543365,-3.394409,661.843750,1.284729,-89.328125,-3.253052,0.134969,0.001941,0.000000,-2.795968
16,0.053000,16,-1.208496,-3.660034,662.031250,0.984863,-89.472656,-3.332642,0.135149,0.001488,0.000000,-2.839791
17,0.056000,17,-1.062439,-3.642212,661.906250,0.776978,-89.398438,-3.374146,0.135062,0.001174,0.000000,-2.883468
18,0.060000,18,-1.015381,-3.670776,662.093750,0.475662,-89.324219,-3.224854,0.134912,0.000718,0.000000,-2.730352
19,0.063000,19,-1.051086,-3.883789,662.000000,0.271759,-89.433594,-3.324219,0.135096,0.000411,0.000000,-2.799966
20,0.066000,20,-0.979034,-3.962769,662.531250,-0.146088,-89.453125,-3.596802,0.135017,-0.000220,0.000000,-3.061544
21,0.070000,21,-0.898865,-3.812622,662.593750,-0.381104,-89.453125,-3.520752,0.135004,-0.000575,0.000000,-3.005514
