x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-24.80000E-03,,,,
-24.77500E-03,,,,
-24.75000E-03,+840.82941E-03,+0.0E+00,-25.00000E-03,-18.84422E-03
-24.72500E-03,+840.82941E-03,-40.20100E-03,+6.40703E-03,+0.0E+00
-24.70000E-03,+840.82941E-03,-38.94472E-03,-25.00000E-03,-40.20100E-03
-24.67500E-03,+760.42740E-03,-40.20100E-03,-53.89447E-03,+0.0E+00
-24.65000E-03,+760.42740E-03,+0.0E+00,-3.64322E-03,-21.35678E-03
-24.62500E-03,+760.42740E-03,-31.40703E-03,-25.00000E-03,+0.0E+00
-24.60000E-03,+680.02539E-03,-38.94472E-03,-25.00000E-03,-1.25628E-03
-24.57500E-03,+680.02539E-03,+17.58794E-03,-25.00000E-03,+0.0E+00
-24.55000E-03,+680.02539E-03,+0.0E+00,-25.00000E-03,+0.0E+00
-24.52500E-03,+662.43745E-03,+0.0E+00,+6.40703E-03,+0.0E+00
-24.50000E-03,+602.13594E-03,+0.0E+00,+13.94472E-03,-1.25628E-03
-24.47500E-03,+599.62338E-03,+0.0E+00,-13.69347E-03,+0.0E+00
-24.45000E-03,+680.02539E-03,-40.20100E-03,-25.00000E-03,+0.0E+00
-24.42500E-03,+617.21132E-03,+0.0E+00,-25.00000E-03,-8.79397E-03
-24.40000E-03,+677.51283E-03,+0.0E+00,-23.74372E-03,-38.94472E-03
-24.37500E-03,+599.62338E-03,+0.0E+00,-13.69347E-03,+0.0E+00
-24.35000E-03,+599.62338E-03,+0.0E+00,-25.00000E-03,+0.0E+00
-24.32500E-03,+599.62338E-03,-31.40703E-03,+6.40703E-03,-31.40703E-03
-24.30000E-03,+519.22137E-03,+0.0E+00,-25.00000E-03,+0.0E+00
-24.27500E-03,+577.01032E-03,+0.0E+00,-25.00000E-03,-28.89447E-03
-24.25000E-03,+599.62338E-03,+0.0E+00,-25.00000E-03,+0.0E+00
-24.22500E-03,+599.62338E-03,-31.40703E-03,-16.20603E-03,+0.0E+00
-24.20000E-03,+599.62338E-03,+0.0E+00,-25.00000E-03,+0.0E+00
-24.17500E-03,+2.06947261E+00,+0.0E+00,+106.90955E-03,+0.0E+00
-24.15000E-03,+4.37851781E+00,-18.84422E-03,+457.41205E-03,-18.84422E-03
-24.12500E-03,+4.52173389E+00,+0.0E+00,+730.02512E-03,-31.40703E-03
-24.10000E-03,+4.53932183E+00,+0.0E+00,+899.62311E-03,-1.25628E-03
-24.07500E-03,+4.50414595E+00,+0.0E+00,+1.02022612E+00,+0.0E+00
-24.05000E-03,+4.53932183E+00,-21.35678E-03,+1.14082913E+00,+21.35678E-03
-24.02500E-03,+4.53932183E+00,+0.0E+00,+1.22123114E+00,+0.0E+00
-24.00000E-03,+4.53680927E+00,-1.25628E-03,+1.30163315E+00,+0.0E+00
-23.97500E-03,+4.57449771E+00,+0.0E+00,+1.35314069E+00,+0.0E+00
-23.95000E-03,+4.53932183E+00,+0.0E+00,+1.42223617E+00,+0.0E+00
-23.92500E-03,+4.53932183E+00,+0.0E+00,+1.42223617E+00,+31.40703E-03
-23.90000E-03,+4.53932183E+00,+0.0E+00,+1.42349245E+00,+0.0E+00
-23.87500E-03,+4.53932183E+00,-28.89447E-03,+1.46243717E+00,+11.30653E-03
-23.85000E-03,+4.53932183E+00,+0.0E+00,+1.46243717E+00,+18.84422E-03
-23.82500E-03,+4.53932183E+00,-8.79397E-03,+1.43103013E+00,+0.0E+00
-23.80000E-03,+4.53932183E+00,+0.0E+00,+1.46243717E+00,+38.94472E-03
-23.77500E-03,+4.45891982E+00,-11.30653E-03,+1.46243717E+00,+0.0E+00
-23.75000E-03,+4.53932183E+00,+0.0E+00,+1.48128139E+00,+0.0E+00
-23.72500E-03,+4.53932183E+00,+0.0E+00,+1.47123114E+00,-8.79397E-03
-23.70000E-03,+4.53932183E+00,-1.25628E-03,+1.50263817E+00,+0.0E+00
-23.67500E-03,+4.53932183E+00,-11.30653E-03,+1.47374370E+00,+11.30653E-03
-23.65000E-03,+4.50163339E+00,+0.0E+00,+1.48379395E+00,+0.0E+00
-23.62500E-03,+4.53932183E+00,-8.79397E-03,+1.50263817E+00,+0.0E+00
-23.60000E-03,+4.61469872E+00,+0.0E+00,+1.50263817E+00,+0.0E+00
-23.57500E-03,+4.53932183E+00,+28.89447E-03,+1.50263817E+00,+0.0E+00
-23.55000E-03,+4.53932183E+00,-21.35678E-03,+1.50263817E+00,+0.0E+00
-23.52500E-03,+4.52173389E+00,+0.0E+00,+1.50263817E+00,+0.0E+00
-23.50000E-03,+4.53932183E+00,+0.0E+00,+1.50263817E+00,+38.94472E-03
-23.47500E-03,+4.59711078E+00,+0.0E+00,+1.53153265E+00,+0.0E+00
-23.45000E-03,+4.53932183E+00,-21.35678E-03,+1.54283918E+00,+0.0E+00
-23.42500E-03,+4.53932183E+00,-31.40703E-03,+1.50263817E+00,-31.40703E-03
-23.40000E-03,+4.46143239E+00,+0.0E+00,+1.54283918E+00,+0.0E+00
-23.37500E-03,+4.53932183E+00,+0.0E+00,+1.51394471E+00,+0.0E+00
-23.35000E-03,+4.57701027E+00,+0.0E+00,+1.52399496E+00,+0.0E+00
-23.32500E-03,+4.53932183E+00,-8.79397E-03,+1.54283918E+00,+0.0E+00
-23.30000E-03,+4.53932183E+00,-38.94472E-03,+1.54283918E+00,+0.0E+00
-23.27500E-03,+4.53932183E+00,-11.30653E-03,+1.53153265E+00,+0.0E+00
-23.25000E-03,+4.53932183E+00,-18.84422E-03,+1.54283918E+00,+0.0E+00
-23.22500E-03,+4.53932183E+00,+0.0E+00,+1.55163315E+00,+8.79397E-03
-23.20000E-03,+4.53932183E+00,-40.20100E-03,+1.54283918E+00,+0.0E+00
-23.17500E-03,+4.37851781E+00,+0.0E+00,+1.33052762E+00,+0.0E+00
-23.15000E-03,+4.50163339E+00,+0.0E+00,+1.32047737E+00,+0.0E+00
-23.12500E-03,+4.47650776E+00,+0.0E+00,+1.38203516E+00,+8.79397E-03
-23.10000E-03,+4.53932183E+00,+0.0E+00,+1.42223617E+00,+0.0E+00
-23.07500E-03,+4.53932183E+00,+0.0E+00,+1.46243717E+00,+28.89447E-03
-23.05000E-03,+4.53932183E+00,+0.0E+00,+1.48128139E+00,-18.84422E-03
-23.02500E-03,+4.13731179E+00,+22.61307E-03,+1.14082913E+00,+0.0E+00
-23.00000E-03,+3.89610576E+00,+0.0E+00,+859.42210E-03,+0.0E+00
-22.97500E-03,+3.65489973E+00,+0.0E+00,+640.82914E-03,-28.89447E-03
-22.95000E-03,+3.33329169E+00,+0.0E+00,+476.25628E-03,+18.84422E-03
-22.92500E-03,+3.09208567E+00,+0.0E+00,+377.01005E-03,-40.20100E-03
-22.90000E-03,+2.92876909E+00,-40.20100E-03,+296.60804E-03,+0.0E+00
-22.87500E-03,+2.69007562E+00,-28.89447E-03,+216.20603E-03,-28.89447E-03
-22.85000E-03,+2.49158316E+00,-21.35678E-03,+135.80402E-03,+0.0E+00
-22.82500E-03,+2.28806558E+00,+0.0E+00,+104.39698E-03,-8.79397E-03
-22.80000E-03,+2.12726156E+00,+0.0E+00,+95.60301E-03,-38.94472E-03
-22.77500E-03,+2.02424648E+00,+0.0E+00,+55.40201E-03,-40.20100E-03
-22.75000E-03,+1.84334196E+00,-21.35678E-03,+34.04523E-03,+0.0E+00
-22.72500E-03,+1.72525151E+00,+0.0E+00,+15.20100E-03,+0.0E+00
-22.70000E-03,+1.56444749E+00,-40.20100E-03,+15.20100E-03,-1.25628E-03
