x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-24.80000E-03,,,,
-24.77500E-03,,,,
-24.75000E-03,+4.42123138E+00,-18.84422E-03,+15.20100E-03,+1.02386934E+00
-24.72500E-03,+4.37851781E+00,+8.79397E-03,+6.40703E-03,+1.03643215E+00
-24.70000E-03,+4.37851781E+00,+0.0E+00,+15.20100E-03,+1.04522612E+00
-24.67500E-03,+4.37851781E+00,+0.0E+00,+15.20100E-03,+1.00502511E+00
-24.65000E-03,+4.37851781E+00,+0.0E+00,-3.64322E-03,+1.00502511E+00
-24.62500E-03,+4.37851781E+00,+0.0E+00,+15.20100E-03,+1.00502511E+00
-24.60000E-03,+4.37600525E+00,+0.0E+00,+15.20100E-03,+1.00628140E+00
-24.57500E-03,+4.37851781E+00,+28.89447E-03,+15.20100E-03,+1.00502511E+00
-24.55000E-03,+4.37851781E+00,+0.0E+00,+15.20100E-03,+1.02386934E+00
-24.52500E-03,+4.31570374E+00,+0.0E+00,+15.20100E-03,+1.04522612E+00
-24.50000E-03,+4.37851781E+00,-38.94472E-03,-23.74372E-03,+1.00502511E+00
-24.47500E-03,+4.37851781E+00,+0.0E+00,+3.89447E-03,+1.01633165E+00
-24.45000E-03,+4.41620626E+00,-18.84422E-03,+15.20100E-03,+1.02638190E+00
-24.42500E-03,+4.44133188E+00,+0.0E+00,+15.20100E-03,+1.01381908E+00
-24.40000E-03,+4.37851781E+00,+0.0E+00,-23.74372E-03,+1.00628140E+00
-24.37500E-03,+4.45891982E+00,+0.0E+00,+15.20100E-03,+1.03391959E+00
-24.35000E-03,+4.37851781E+00,+0.0E+00,+15.20100E-03,+1.02386934E+00
-24.32500E-03,+4.37851781E+00,+0.0E+00,+15.20100E-03,+1.00502511E+00
-24.30000E-03,+4.37851781E+00,+0.0E+00,+13.94472E-03,+1.00628140E+00
-24.27500E-03,+4.43630676E+00,-28.89447E-03,+15.20100E-03,+1.04522612E+00
-24.25000E-03,+4.41620626E+00,+0.0E+00,-6.15578E-03,+1.00502511E+00
-24.22500E-03,+4.39610575E+00,+0.0E+00,+15.20100E-03,+1.01381908E+00
-24.20000E-03,+4.37600525E+00,-38.94472E-03,+15.20100E-03,+1.00502511E+00
-24.17500E-03,+3.99912083E+00,+0.0E+00,-13.69347E-03,+792.71356E-03
-24.15000E-03,+3.69258817E+00,+0.0E+00,+15.20100E-03,+584.17085E-03
-24.12500E-03,+3.43128164E+00,+0.0E+00,-16.20603E-03,+442.21105E-03
-24.10000E-03,+3.17248768E+00,+0.0E+00,+16.45729E-03,+321.60804E-03
-24.07500E-03,+2.95389471E+00,+0.0E+00,+15.20100E-03,+241.20603E-03
-24.05000E-03,+2.77047763E+00,+0.0E+00,-6.15578E-03,+182.16080E-03
-24.02500E-03,+2.54685954E+00,+0.0E+00,+15.20100E-03,+152.01005E-03
-24.00000E-03,+2.36846758E+00,+38.94472E-03,+15.20100E-03,+120.60301E-03
-23.97500E-03,+2.14987462E+00,+0.0E+00,+15.20100E-03,+80.40201E-03
-23.95000E-03,+2.04685955E+00,+0.0E+00,-6.15578E-03,+40.20100E-03
-23.92500E-03,+1.96645754E+00,+0.0E+00,+23.99497E-03,+8.79397E-03
-23.90000E-03,+1.80565352E+00,+0.0E+00,+15.20100E-03,+38.94472E-03
-23.87500E-03,+1.64484950E+00,+28.89447E-03,+15.20100E-03,+28.89447E-03
-23.85000E-03,+1.56444749E+00,+0.0E+00,-3.64322E-03,+18.84422E-03
-23.82500E-03,+1.48404548E+00,+0.0E+00,+15.20100E-03,+8.79397E-03
-23.80000E-03,+1.32575403E+00,+0.0E+00,+15.20100E-03,+1.25628E-03
-23.77500E-03,+1.30062840E+00,+28.89447E-03,-13.69347E-03,+0.0E+00
-23.75000E-03,+1.24283946E+00,+21.35678E-03,-3.64322E-03,+0.0E+00
-23.72500E-03,+1.16243745E+00,+0.0E+00,+15.20100E-03,+0.0E+00
-23.70000E-03,+1.08203544E+00,+0.0E+00,+13.94472E-03,+1.25628E-03
-23.67500E-03,+1.08203544E+00,+0.0E+00,+15.20100E-03,-28.89447E-03
-23.65000E-03,+1.00163343E+00,+0.0E+00,+15.20100E-03,+0.0E+00
-23.62500E-03,+921.23142E-03,+0.0E+00,-16.20603E-03,+8.79397E-03
-23.60000E-03,+918.71886E-03,+0.0E+00,-25.00000E-03,+0.0E+00
-23.57500E-03,+898.61835E-03,+0.0E+00,+15.20100E-03,+0.0E+00
-23.55000E-03,+840.82941E-03,+0.0E+00,+36.55779E-03,+21.35678E-03
-23.52500E-03,+778.01534E-03,+0.0E+00,+6.40703E-03,+0.0E+00
-23.50000E-03,+760.42740E-03,+38.94472E-03,-23.74372E-03,+0.0E+00
-23.47500E-03,+760.42740E-03,-28.89447E-03,-25.00000E-03,+0.0E+00
-23.45000E-03,+760.42740E-03,+0.0E+00,-3.64322E-03,+0.0E+00
-23.42500E-03,+760.42740E-03,+0.0E+00,+15.20100E-03,+0.0E+00
-23.40000E-03,+680.02539E-03,+1.25628E-03,+15.20100E-03,+0.0E+00
-23.37500E-03,+680.02539E-03,+11.30653E-03,+15.20100E-03,+0.0E+00
-23.35000E-03,+680.02539E-03,+21.35678E-03,+15.20100E-03,-21.35678E-03
-23.32500E-03,+599.62338E-03,+8.79397E-03,+15.20100E-03,-8.79397E-03
-23.30000E-03,+680.02539E-03,+0.0E+00,+15.20100E-03,+0.0E+00
-23.27500E-03,+599.62338E-03,+0.0E+00,+15.20100E-03,+0.0E+00
-23.25000E-03,+599.62338E-03,-18.84422E-03,+15.20100E-03,+0.0E+00
-23.22500E-03,+599.62338E-03,+0.0E+00,-25.00000E-03,+0.0E+00
-23.20000E-03,+677.51283E-03,+0.0E+00,-23.74372E-03,+1.25628E-03
-23.17500E-03,+622.23645E-03,+0.0E+00,+15.20100E-03,+0.0E+00
-23.15000E-03,+599.62338E-03,+0.0E+00,+15.20100E-03,+0.0E+00
-23.12500E-03,+599.62338E-03,+0.0E+00,+15.20100E-03,+31.40703E-03
-23.10000E-03,+597.11082E-03,+0.0E+00,+15.20100E-03,+0.0E+00
-23.07500E-03,+599.62338E-03,+0.0E+00,-13.69347E-03,+0.0E+00
-23.05000E-03,+637.31182E-03,+21.35678E-03,+15.20100E-03,+0.0E+00
-23.02500E-03,+599.62338E-03,+0.0E+00,+15.20100E-03,+0.0E+00
-23.00000E-03,+521.73394E-03,+0.0E+00,+15.20100E-03,-1.25628E-03
-22.97500E-03,+577.01032E-03,+0.0E+00,-13.69347E-03,+0.0E+00
-22.95000E-03,+599.62338E-03,-21.35678E-03,-25.00000E-03,+21.35678E-03
-22.92500E-03,+519.22137E-03,+0.0E+00,+15.20100E-03,+0.0E+00
-22.90000E-03,+521.73394E-03,+0.0E+00,+15.20100E-03,+0.0E+00
-22.87500E-03,+599.62338E-03,+0.0E+00,-13.69347E-03,+0.0E+00
-22.85000E-03,+519.22137E-03,+0.0E+00,-3.64322E-03,+0.0E+00
-22.82500E-03,+599.62338E-03,+0.0E+00,-16.20603E-03,+0.0E+00
-22.80000E-03,+519.22137E-03,+0.0E+00,+15.20100E-03,+0.0E+00
-22.77500E-03,+541.83444E-03,+0.0E+00,-13.69347E-03,-17.58794E-03
-22.75000E-03,+519.22137E-03,+0.0E+00,+15.20100E-03,+0.0E+00
-22.72500E-03,+536.80931E-03,+0.0E+00,+15.20100E-03,+0.0E+00
-22.70000E-03,+519.22137E-03,+0.0E+00,+13.94472E-03,+0.0E+00
