x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-24.80000E-03,,,,
-24.77500E-03,,,,
-24.75000E-03,+4.45891982E+00,+321.60804E-03,+74.24623E-03,+383.16583E-03
-24.72500E-03,+4.53932183E+00,+321.60804E-03,+55.40201E-03,+393.21608E-03
-24.70000E-03,+4.45891982E+00,+321.60804E-03,+56.65829E-03,+400.75376E-03
-24.67500E-03,+4.45891982E+00,+321.60804E-03,+55.40201E-03,+402.01005E-03
-24.65000E-03,+4.45891982E+00,+321.60804E-03,+76.75879E-03,+402.01005E-03
-24.62500E-03,+4.47650776E+00,+353.01507E-03,+55.40201E-03,+379.39698E-03
-24.60000E-03,+4.46143239E+00,+321.60804E-03,+55.40201E-03,+400.75376E-03
-24.57500E-03,+4.48153289E+00,+361.80904E-03,+55.40201E-03,+413.31658E-03
-24.55000E-03,+4.49660826E+00,+361.80904E-03,+74.24623E-03,+420.85427E-03
-24.52500E-03,+4.45891982E+00,+330.40201E-03,+55.40201E-03,+402.01005E-03
-24.50000E-03,+4.46143239E+00,+361.80904E-03,+95.60301E-03,+400.75376E-03
-24.47500E-03,+4.45891982E+00,+321.60804E-03,+66.70854E-03,+390.70351E-03
-24.45000E-03,+4.45891982E+00,+321.60804E-03,+74.24623E-03,+402.01005E-03
-24.42500E-03,+4.45891982E+00,+330.40201E-03,+86.80904E-03,+402.01005E-03
-24.40000E-03,+4.53680927E+00,+322.86432E-03,+56.65829E-03,+400.75376E-03
-24.37500E-03,+4.48153289E+00,+321.60804E-03,+55.40201E-03,+402.01005E-03
-24.35000E-03,+4.49660826E+00,+340.45226E-03,+74.24623E-03,+361.80904E-03
-24.32500E-03,+4.47650776E+00,+321.60804E-03,+86.80904E-03,+402.01005E-03
-24.30000E-03,+4.45891982E+00,+360.55276E-03,+55.40201E-03,+402.01005E-03
-24.27500E-03,+4.51670877E+00,+350.50251E-03,+84.29648E-03,+361.80904E-03
-24.25000E-03,+4.45891982E+00,+342.96482E-03,+55.40201E-03,+402.01005E-03
-24.22500E-03,+4.45891982E+00,+321.60804E-03,+55.40201E-03,+402.01005E-03
-24.20000E-03,+4.45891982E+00,+282.66331E-03,+95.60301E-03,+402.01005E-03
-24.17500E-03,+4.45891982E+00,+241.20603E-03,+176.00502E-03,+390.70351E-03
-24.15000E-03,+4.45891982E+00,+201.00502E-03,+256.40703E-03,+402.01005E-03
-24.12500E-03,+4.37851781E+00,+160.80402E-03,+336.80904E-03,+321.60804E-03
-24.10000E-03,+4.29560324E+00,+120.60301E-03,+417.21105E-03,+241.20603E-03
-24.07500E-03,+4.27550274E+00,+120.60301E-03,+446.10552E-03,+201.00502E-03
-24.05000E-03,+4.21771380E+00,+80.40201E-03,+457.41205E-03,+141.95980E-03
-24.02500E-03,+4.15489973E+00,+48.99497E-03,+426.00502E-03,+120.60301E-03
-24.00000E-03,+4.21771380E+00,+40.20100E-03,+418.46733E-03,+80.40201E-03
-23.97500E-03,+4.19510073E+00,+40.20100E-03,+457.41205E-03,+69.09548E-03
-23.95000E-03,+4.21771380E+00,+0.0E+00,+457.41205E-03,+80.40201E-03
-23.92500E-03,+4.20012586E+00,+0.0E+00,+417.21105E-03,+40.20100E-03
-23.90000E-03,+4.21520123E+00,+0.0E+00,+418.46733E-03,+40.20100E-03
-23.87500E-03,+4.15992485E+00,+0.0E+00,+417.21105E-03,+40.20100E-03
-23.85000E-03,+4.18002535E+00,+0.0E+00,+417.21105E-03,+0.0E+00
-23.82500E-03,+4.13731179E+00,+0.0E+00,+448.61809E-03,+8.79397E-03
-23.80000E-03,+4.13982435E+00,+0.0E+00,+456.15577E-03,+40.20100E-03
-23.77500E-03,+4.21771380E+00,+11.30653E-03,+417.21105E-03,+11.30653E-03
-23.75000E-03,+4.17500023E+00,+0.0E+00,+417.21105E-03,+21.35678E-03
-23.72500E-03,+4.20012586E+00,+0.0E+00,+426.00502E-03,+0.0E+00
-23.70000E-03,+4.21520123E+00,+0.0E+00,+418.46733E-03,+1.25628E-03
-23.67500E-03,+4.19510073E+00,-11.30653E-03,+428.51758E-03,+11.30653E-03
-23.65000E-03,+4.21771380E+00,+18.84422E-03,+436.05527E-03,+18.84422E-03
-23.62500E-03,+4.21771380E+00,+0.0E+00,+448.61809E-03,+0.0E+00
-23.60000E-03,+4.13731179E+00,+1.25628E-03,+417.21105E-03,+40.20100E-03
-23.57500E-03,+4.15992485E+00,+0.0E+00,+446.10552E-03,+28.89447E-03
-23.55000E-03,+4.17500023E+00,+0.0E+00,+438.56783E-03,+0.0E+00
-23.52500E-03,+4.13731179E+00,+0.0E+00,+426.00502E-03,+0.0E+00
-23.50000E-03,+4.13982435E+00,+0.0E+00,+417.21105E-03,+0.0E+00
-23.47500E-03,+4.19510073E+00,+0.0E+00,+428.51758E-03,+0.0E+00
-23.45000E-03,+4.18002535E+00,+0.0E+00,+436.05527E-03,+40.20100E-03
-23.42500E-03,+4.20012586E+00,+0.0E+00,+426.00502E-03,+8.79397E-03
-23.40000E-03,+4.13731179E+00,+0.0E+00,+418.46733E-03,+1.25628E-03
-23.37500E-03,+4.13731179E+00,+0.0E+00,+417.21105E-03,+11.30653E-03
-23.35000E-03,+4.21771380E+00,+0.0E+00,+457.41205E-03,+40.20100E-03
-23.32500E-03,+4.15489973E+00,+0.0E+00,+457.41205E-03,+0.0E+00
-23.30000E-03,+4.21771380E+00,+0.0E+00,+417.21105E-03,+0.0E+00
-23.27500E-03,+4.13731179E+00,+0.0E+00,+446.10552E-03,+28.89447E-03
-23.25000E-03,+4.21771380E+00,+0.0E+00,+457.41205E-03,+0.0E+00
-23.22500E-03,+4.21771380E+00,+8.79397E-03,+457.41205E-03,+31.40703E-03
-23.20000E-03,+4.21771380E+00,+0.0E+00,+456.15577E-03,+0.0E+00
-23.17500E-03,+4.24032686E+00,+0.0E+00,+457.41205E-03,+0.0E+00
-23.15000E-03,+4.21771380E+00,+21.35678E-03,+436.05527E-03,+0.0E+00
-23.12500E-03,+4.15489973E+00,+0.0E+00,+457.41205E-03,+0.0E+00
-23.10000E-03,+4.21771380E+00,+0.0E+00,+418.46733E-03,+0.0E+00
-23.07500E-03,+4.21771380E+00,+0.0E+00,+457.41205E-03,+0.0E+00
-23.05000E-03,+4.18002535E+00,+0.0E+00,+417.21105E-03,+0.0E+00
-23.02500E-03,+4.21771380E+00,+0.0E+00,+417.21105E-03,+31.40703E-03
-23.00000E-03,+4.21771380E+00,+0.0E+00,+457.41205E-03,+38.94472E-03
-22.97500E-03,+4.19510073E+00,+0.0E+00,+457.41205E-03,+11.30653E-03
-22.95000E-03,+4.17500023E+00,+0.0E+00,+457.41205E-03,+21.35678E-03
-22.92500E-03,+4.20012586E+00,+0.0E+00,+457.41205E-03,+0.0E+00
-22.90000E-03,+4.21771380E+00,+0.0E+00,+457.41205E-03,+40.20100E-03
-22.87500E-03,+4.21771380E+00,+0.0E+00,+428.51758E-03,+0.0E+00
-22.85000E-03,+4.17500023E+00,-21.35678E-03,+457.41205E-03,+40.20100E-03
-22.82500E-03,+4.20012586E+00,+31.40703E-03,+448.61809E-03,+0.0E+00
-22.80000E-03,+4.13982435E+00,+0.0E+00,+457.41205E-03,+38.94472E-03
-22.77500E-03,+4.21771380E+00,+0.0E+00,+457.41205E-03,+11.30653E-03
-22.75000E-03,+4.17500023E+00,+0.0E+00,+457.41205E-03,+21.35678E-03
-22.72500E-03,+4.13731179E+00,+0.0E+00,+417.21105E-03,+40.20100E-03
